,repeats,failure,success,isKey_insert_hCall,isKey_insert_rdNum,isKey_insert_wrNum,isKey_search_hCall,isKey_search_rdNum,isKey_search_wrNum,isKey_delete_hCall,isKey_delete_rdNum,isKey_delete_wrNum,noKey_insert_hCall,noKey_insert_rdNum,noKey_insert_wrNum,noKey_search_hCall,noKey_search_rdNum,noKey_search_wrNum,noKey_delete_hCall,noKey_delete_rdNum,noKey_delete_wrNum
8.90625,2000,0,2000,4918,4918,2000,5073,5073,0,4967,4967,2000,23842,23842,2717,30000,30000,0,30000,30000,0
8.75,2000,0,2000,3667,3667,2000,3584,3584,0,3649,3649,2000,8410,8410,2037,30000,30000,0,30000,30000,0
8.625,2000,0,2000,3101,3101,2000,3294,3294,0,3140,3140,2000,5325,5325,2001,30000,30000,0,30000,30000,0
8.5,2000,0,2000,2795,2795,2000,2749,2749,0,2696,2696,2000,4036,4036,2000,30000,30000,0,30000,30000,0
10.90625,2000,0,2000,4962,4962,2000,4995,4995,0,5055,5055,2000,23642,23642,2698,30000,30000,0,30000,30000,0
10.75,2000,0,2000,3702,3702,2000,3657,3657,0,3792,3792,2000,7920,7920,2028,30000,30000,0,30000,30000,0
10.625,2000,0,2000,3199,3199,2000,3126,3126,0,3172,3172,2000,5394,5394,2000,30000,30000,0,30000,30000,0
10.5,2000,0,2000,2791,2791,2000,2803,2803,0,2729,2729,2000,4058,4058,2000,30000,30000,0,30000,30000,0
12.90625,2000,0,2000,4900,4900,2000,4909,4909,0,4803,4803,2000,23269,23269,2686,30000,30000,0,30000,30000,0
12.75,2000,0,2000,3597,3597,2000,3710,3710,0,3788,3788,2000,8106,8106,2023,30000,30000,0,30000,30000,0
12.625,2000,0,2000,3158,3158,2000,3144,3144,0,3059,3059,2000,5324,5324,2001,30000,30000,0,30000,30000,0
12.5,2000,0,2000,2764,2764,2000,2738,2738,0,2777,2777,2000,4038,4038,2000,30000,30000,0,30000,30000,0
14.90625,2000,0,2000,5064,5064,2000,5164,5164,0,4919,4919,2000,23175,23175,2667,30000,30000,0,30000,30000,0
14.75,2000,0,2000,3804,3804,2000,3547,3547,0,3712,3712,2000,7925,7925,2020,30000,30000,0,30000,30000,0
14.625,2000,0,2000,3163,3163,2000,3145,3145,0,3110,3110,2000,5288,5288,2001,30000,30000,0,30000,30000,0
14.5,2000,0,2000,2805,2805,2000,2751,2751,0,2801,2801,2000,3911,3911,2000,30000,30000,0,30000,30000,0
16.90625,2000,0,2000,5023,5023,2000,4947,4947,0,4913,4913,2000,23153,23153,2646,30000,30000,0,30000,30000,0
16.75,2000,0,2000,3749,3749,2000,3725,3725,0,3683,3683,2000,8094,8094,2031,30000,30000,0,30000,30000,0
16.625,2000,0,2000,3260,3260,2000,3135,3135,0,3076,3076,2000,5204,5204,2001,30000,30000,0,30000,30000,0
16.5,2000,0,2000,2711,2711,2000,2743,2743,0,2825,2825,2000,3931,3931,2000,30000,30000,0,30000,30000,0
